
x: 0,0000: |	|y: 0.0|	|v: 0.0|	|deltaY: 0.0|	|deltaV: 0.0

x: 0,0109: |	|y: 1.2262562521535847E-4|	|v: 0.02173917936080653|	|deltaY: 4.478177200235612E-6|	|deltaV: 4.89260239232292E-8

x: 0,0217: |	|y: 4.7706799365416065E-4|	|v: 0.043478357669855104|	|deltaY: 4.478201593669201E-6|	|deltaV: 9.680028988795497E-8

x: 0,0326: |	|y: 0.0010678057811473285|	|v: 0.06521753496609703|	|deltaY: 4.478749011222654E-6|	|deltaV: 1.43661749205104E-7

x: 0,0435: |	|y: 0.0018948389767170968|	|v: 0.08695671128673872|	|deltaY: 4.479808475130968E-6|	|deltaV: 1.8954760828970851E-7

x: 0,0543: |	|y: 0.0029581675697864735|	|v: 0.1086958866673361|	|deltaY: 4.4813694084016274E-6|	|deltaV: 2.3449342305414955E-7

x: 0,0652: |	|y: 0.004257791550161561|	|v: 0.130435061141883|	|deltaY: 4.483421617137474E-6|	|deltaV: 2.7853318734782917E-7

x: 0,0761: |	|y: 0.005793710908014821|	|v: 0.15217423474289404|	|deltaY: 4.485955273799552E-6|	|deltaV: 3.216994157728692E-7

x: 0,0870: |	|y: 0.007565925633869222|	|v: 0.17391340750148238|	|deltaY: 4.4889609013588905E-6|	|deltaV: 3.640232215107453E-7

x: 0,0978: |	|y: 0.009574435718583213|	|v: 0.19565257944743264|	|deltaY: 4.492429358262523E-6|	|deltaV: 4.0553438918067286E-7

x: 0,1087: |	|y: 0.011819241153336482|	|v: 0.2173917506092694|	|deltaY: 4.496351824197914E-6|	|deltaV: 4.4626144335424556E-7

x: 0,1196: |	|y: 0.014300341929616435|	|v: 0.23913092101432162|	|deltaY: 4.500719786566451E-6|	|deltaV: 4.862317129206151E-7

x: 0,1304: |	|y: 0.017017738039205373|	|v: 0.26087009068878314|	|deltaY: 4.505525027679452E-6|	|deltaV: 5.254713918434462E-7

x: 0,1413: |	|y: 0.019971429474168308|	|v: 0.28260925965776956|	|deltaY: 4.510759612545712E-6|	|deltaV: 5.640055956712686E-7

x: 0,1522: |	|y: 0.023161416226841383|	|v: 0.3043484279453719|	|deltaY: 4.516415877304364E-6|	|deltaV: 6.018584154388051E-7

x: 0,1630: |	|y: 0.026587698289820882|	|v: 0.3260875955747072|	|deltaY: 4.522486418235411E-6|	|deltaV: 6.39052968043341E-7

x: 0,1739: |	|y: 0.03025027565595276|	|v: 0.3478267625679657|	|deltaY: 4.528964081308012E-6|	|deltaV: 6.756114439565586E-7

x: 0,1848: |	|y: 0.03414914831832269|	|v: 0.36956592894645623|	|deltaY: 4.53584195218848E-6|	|deltaV: 7.115551519110141E-7

x: 0,1957: |	|y: 0.03828431627024659|	|v: 0.3913050947306482|	|deltaY: 4.543113346786032E-6|	|deltaV: 7.469045612551461E-7

x: 0,2065: |	|y: 0.04265577950526159|	|v: 0.41304425994021143|	|deltaY: 4.550771802239173E-6|	|deltaV: 7.816793419213042E-7

x: 0,2174: |	|y: 0.047263538017117454|	|v: 0.4347834245940543|	|deltaY: 4.558811068304525E-6|	|deltaV: 8.158984021178206E-7

x: 0,2283: |	|y: 0.05210759179976839|	|v: 0.45652258871035883|	|deltaY: 4.567225099214034E-6|	|deltaV: 8.49579924078192E-7

x: 0,2391: |	|y: 0.057187940847365226|	|v: 0.47826175230661494|	|deltaY: 4.576008045764635E-6|	|deltaV: 8.827413975898146E-7

x: 0,2500: |	|y: 0.06250458515424796|	|v: 0.5000009153996517|	|deltaY: 4.585154247963019E-6|	|deltaV: 9.153996517463625E-7

x: 0,2609: |	|y: 0.06805752471493869|	|v: 0.5217400780056682|	|deltaY: 4.594658227913273E-6|	|deltaV: 9.475708856454546E-7

x: 0,2717: |	|y: 0.07384675952413475|	|v: 0.5434792401402614|	|deltaY: 4.604514682954308E-6|	|deltaV: 9.79270696199741E-7

x: 0,2826: |	|y: 0.07987228957670231|	|v: 0.5652184018184534|	|deltaY: 4.614718479262203E-6|	|deltaV: 1.0105141056149236E-6

x: 0,2935: |	|y: 0.08613411486767016|	|v: 0.5869575630547174|	|deltaY: 4.6252646455913204E-6|	|deltaV: 1.0413155869803958E-6

x: 0,3043: |	|y: 0.09263223539222377|	|v: 0.6086967238630012|	|deltaY: 4.636148367459514E-6|	|deltaV: 1.0716890882500607E-6

x: 0,3152: |	|y: 0.09936665114569967|	|v: 0.6304358842567512|	|deltaY: 4.647364981333335E-6|	|deltaV: 1.101648055557014E-6

x: 0,3261: |	|y: 0.10633736212358003|	|v: 0.6521750442489335|	|deltaY: 4.658909969437741E-6|	|deltaV: 1.1312054551959605E-6

x: 0,3370: |	|y: 0.11354436832148745|	|v: 0.6739142038520546|	|deltaY: 4.670778954371513E-6|	|deltaV: 1.1603737937182501E-6

x: 0,3478: |	|y: 0.1209876697351801|	|v: 0.6956533630781817|	|deltaY: 4.682967694291662E-6|	|deltaV: 1.1891651382489599E-6

x: 0,3587: |	|y: 0.12866726636054687|	|v: 0.717392521938961|	|deltaY: 4.695472078070084E-6|	|deltaV: 1.2175911349165958E-6

x: 0,3696: |	|y: 0.1365831581936029|	|v: 0.7391316804456353|	|deltaY: 4.708288120880422E-6|	|deltaV: 1.2456630266166613E-6

x: 0,3804: |	|y: 0.1447353452304852|	|v: 0.7608708386090612|	|deltaY: 4.72141195970166E-6|	|deltaV: 1.2733916699980696E-6

x: 0,3913: |	|y: 0.15312382746744854|	|v: 0.7826099964397253|	|deltaY: 4.734839849335204E-6|	|deltaV: 1.3007875514503553E-6

x: 0,4022: |	|y: 0.16174860490086138|	|v: 0.8043491539477589|	|deltaY: 4.748568158186028E-6|	|deltaV: 1.3278608024247518E-6

x: 0,4130: |	|y: 0.17060967752720202|	|v: 0.826088311142953|	|deltaY: 4.762593364598944E-6|	|deltaV: 1.354621213867091E-6

x: 0,4239: |	|y: 0.17970704534305507|	|v: 0.8478274680347722|	|deltaY: 4.776912053167104E-6|	|deltaV: 1.3810782504286578E-6

x: 0,4348: |	|y: 0.18904070834510778|	|v: 0.8695666246323674|	|deltaY: 4.791520911179292E-6|	|deltaV: 1.4072410631227328E-6

x: 0,4457: |	|y: 0.1986106665301467|	|v: 0.8913057809445892|	|deltaY: 4.806416725150475E-6|	|deltaV: 1.4331185023142012E-6

x: 0,4565: |	|y: 0.20841691989505445|	|v: 0.9130449369799991|	|deltaY: 4.821596377740933E-6|	|deltaV: 1.45871912959894E-6

x: 0,4674: |	|y: 0.2184594684368066|	|v: 0.9347840927468813|	|deltaY: 4.837056844453347E-6|	|deltaV: 1.484051229239114E-6

x: 0,4783: |	|y: 0.22873831215246865|	|v: 0.9565232482532535|	|deltaY: 4.852795190801729E-6|	|deltaV: 1.509122818821318E-6

x: 0,4891: |	|y: 0.23925345103919315|	|v: 0.9782624035068773|	|deltaY: 4.868808569341576E-6|	|deltaV: 1.533941659914717E-6

x: 0,5000: |	|y: 0.250004885094217|	|v: 1.0000015585152682|	|deltaY: 4.885094216977581E-6|	|deltaV: 1.5585152681740766E-6

x: 0,5109: |	|y: 0.26099261431485865|	|v: 1.021740713285705|	|deltaY: 4.901649452160317E-6|	|deltaV: 1.5828509223325682E-6

x: 0,5217: |	|y: 0.2722166386985157|	|v: 1.0434798678252388|	|deltaY: 4.918471672610281E-6|	|deltaV: 1.6069556736386659E-6

x: 0,5326: |	|y: 0.2836769582426623|	|v: 1.0652190221407019|	|deltaY: 4.935558352237024E-6|	|deltaV: 1.630836353960774E-6

x: 0,5435: |	|y: 0.29537357294484695|	|v: 1.0869581762387157|	|deltaY: 4.9529070396681085E-6|	|deltaV: 1.6544995851131006E-6

x: 0,5543: |	|y: 0.30730648280268996|	|v: 1.108697330125699|	|deltaY: 4.970515355362526E-6|	|deltaV: 1.6779517859610849E-6

x: 0,5652: |	|y: 0.3194756878138816|	|v: 1.130436483807875|	|deltaY: 4.9883809892792286E-6|	|deltaV: 1.7011991793047798E-6

